date,description,amount,type,category,explanation
2023-03-01,DEBIT PURCHASE SP SERVICES,-80.5,Withdrawal,Bills,Electricity and water bill payment to SP Services.
2023-03-15,FAST PAYMENT TO NETFLIX,-15.0,Withdrawal,Bills,Monthly Netflix subscription payment.
2023-04-01,GIRO PAYMENT TO SINGTEL,-45.0,Withdrawal,Bills,Monthly Singtel mobile bill payment.
2023-04-15,DEBIT PURCHASE SP SERVICES,-77.75,Withdrawal,Bills,Electricity and water bill payment to SP Services.
2023-05-01,FAST PAYMENT TO NETFLIX,-15.0,Withdrawal,Bills,Monthly Netflix subscription payment.
2023-05-15,GIRO PAYMENT TO SINGTEL,-45.0,Withdrawal,Bills,Monthly Singtel mobile bill payment.
2023-06-01,DEBIT PURCHASE SP SERVICES,-79.0,Withdrawal,Bills,Electricity and water bill payment to SP Services.
2023-06-15,FAST PAYMENT TO NETFLIX,-15.0,Withdrawal,Bills,Monthly Netflix subscription payment.
2023-07-01,GIRO PAYMENT TO SINGTEL,-45.0,Withdrawal,Bills,Monthly Singtel mobile bill payment.
2023-07-15,DEBIT PURCHASE SP SERVICES,-76.5,Withdrawal,Bills,Electricity and water bill payment to SP Services.
2023-08-01,FAST PAYMENT TO NETFLIX,-15.0,Withdrawal,Bills,Monthly Netflix subscription payment.
2023-08-15,GIRO PAYMENT TO SINGTEL,-45.0,Withdrawal,Bills,Monthly Singtel mobile bill payment.
2023-09-01,DEBIT PURCHASE SP SERVICES,-78.0,Withdrawal,Bills,Electricity and water bill payment to SP Services.
2023-09-15,FAST PAYMENT TO NETFLIX,-15.0,Withdrawal,Bills,Monthly Netflix subscription payment.
2023-10-01,GIRO PAYMENT TO SINGTEL,-45.0,Withdrawal,Bills,Monthly Singtel mobile bill payment.
2023-10-15,DEBIT PURCHASE SP SERVICES,-76.25,Withdrawal,Bills,Electricity and water bill payment to SP Services.
2023-11-01,FAST PAYMENT TO NETFLIX,-15.0,Withdrawal,Bills,Monthly Netflix subscription payment.
2023-11-15,GIRO PAYMENT TO SINGTEL,-45.0,Withdrawal,Bills,Monthly Singtel mobile bill payment.
2023-12-01,DEBIT PURCHASE SP SERVICES,-77.5,Withdrawal,Bills,Electricity and water bill payment to SP Services.
2023-12-15,FAST PAYMENT TO NETFLIX,-15.0,Withdrawal,Bills,Monthly Netflix subscription payment.
2024-01-01,GIRO PAYMENT TO SINGTEL,-45.0,Withdrawal,Bills,Monthly Singtel mobile bill payment.
2024-01-15,DEBIT PURCHASE SP SERVICES,-79.75,Withdrawal,Bills,Electricity and water bill payment to SP Services.
2024-02-01,FAST PAYMENT TO NETFLIX,-15.0,Withdrawal,Bills,Monthly Netflix subscription payment.
2024-02-15,GIRO PAYMENT TO SINGTEL,-45.0,Withdrawal,Bills,Monthly Singtel mobile bill payment.
2024-03-01,DEBIT PURCHASE SP SERVICES,-80.0,Withdrawal,Bills,Electricity and water bill payment to SP Services.
2024-03-15,FAST PAYMENT TO NETFLIX,-15.0,Withdrawal,Bills,Monthly Netflix subscription payment.
2024-04-01,GIRO PAYMENT TO SINGTEL,-45.0,Withdrawal,Bills,Monthly Singtel mobile bill payment.
2024-04-15,DEBIT PURCHASE SP SERVICES,-77.0,Withdrawal,Bills,Electricity and water bill payment to SP Services.
2024-05-01,FAST PAYMENT TO NETFLIX,-15.0,Withdrawal,Bills,Monthly Netflix subscription payment.
2024-05-15,GIRO PAYMENT TO SINGTEL,-45.0,Withdrawal,Bills,Monthly Singtel mobile bill payment.
2024-06-01,DEBIT PURCHASE SP SERVICES,-78.5,Withdrawal,Bills,Electricity and water bill payment to SP Services.
2024-06-15,FAST PAYMENT TO NETFLIX,-15.0,Withdrawal,Bills,Monthly Netflix subscription payment.
2024-07-01,GIRO PAYMENT TO SINGTEL,-45.0,Withdrawal,Bills,Monthly Singtel mobile bill payment.
2024-07-15,DEBIT PURCHASE SP SERVICES,-76.75,Withdrawal,Bills,Electricity and water bill payment to SP Services.
2024-08-01,FAST PAYMENT TO NETFLIX,-15.0,Withdrawal,Bills,Monthly Netflix subscription payment.
2024-08-15,GIRO PAYMENT TO SINGTEL,-45.0,Withdrawal,Bills,Monthly Singtel mobile bill payment.
2024-09-01,DEBIT PURCHASE SP SERVICES,-79.25,Withdrawal,Bills,Electricity and water bill payment to SP Services.
2024-09-15,FAST PAYMENT TO NETFLIX,-15.0,Withdrawal,Bills,Monthly Netflix subscription payment.
2024-10-01,GIRO PAYMENT TO SINGTEL,-45.0,Withdrawal,Bills,Monthly Singtel mobile bill payment.
2024-10-15,DEBIT PURCHASE SP SERVICES,-77.5,Withdrawal,Bills,Electricity and water bill payment to SP Services.
2024-11-01,FAST PAYMENT TO NETFLIX,-15.0,Withdrawal,Bills,Monthly Netflix subscription payment.
2024-11-15,GIRO PAYMENT TO SINGTEL,-45.0,Withdrawal,Bills,Monthly Singtel mobile bill payment.
2024-12-01,DEBIT PURCHASE SP SERVICES,-78.75,Withdrawal,Bills,Electricity and water bill payment to SP Services.
2024-12-15,FAST PAYMENT TO NETFLIX,-15.0,Withdrawal,Bills,Monthly Netflix subscription payment.
2022-01-03,GIRO PAYMENT 02/01/22 xx-1234 SP POWER,-75.0,Withdrawal,Bills,Monthly electricity bill payment via GIRO.
2022-01-15,DEBIT PURCHASE 14/01/22 xx-5678 NETFLIX,-13.99,Withdrawal,Bills,Monthly Netflix subscription fee.
2022-02-02,GIRO PAYMENT 01/02/22 xx-1234 SP POWER,-80.0,Withdrawal,Bills,Monthly electricity bill payment via GIRO.
2022-02-15,DEBIT PURCHASE 14/02/22 xx-5678 NETFLIX,-13.99,Withdrawal,Bills,Monthly Netflix subscription fee.
2022-03-02,GIRO PAYMENT 01/03/22 xx-1234 SP POWER,-70.0,Withdrawal,Bills,Monthly electricity bill payment via GIRO.
2022-03-15,DEBIT PURCHASE 14/03/22 xx-5678 NETFLIX,-13.99,Withdrawal,Bills,Monthly Netflix subscription fee.
2022-04-02,GIRO PAYMENT 01/04/22 xx-1234 SP POWER,-85.0,Withdrawal,Bills,Monthly electricity bill payment via GIRO.
2022-04-15,DEBIT PURCHASE 14/04/22 xx-5678 NETFLIX,-13.99,Withdrawal,Bills,Monthly Netflix subscription fee.
2022-05-02,GIRO PAYMENT 01/05/22 xx-1234 SP POWER,-90.0,Withdrawal,Bills,Monthly electricity bill payment via GIRO.
2022-05-15,DEBIT PURCHASE 14/05/22 xx-5678 NETFLIX,-13.99,Withdrawal,Bills,Monthly Netflix subscription fee.
2022-06-02,GIRO PAYMENT 01/06/22 xx-1234 SP POWER,-80.0,Withdrawal,Bills,Monthly electricity bill payment via GIRO.
2022-06-15,DEBIT PURCHASE 14/06/22 xx-5678 NETFLIX,-13.99,Withdrawal,Bills,Monthly Netflix subscription fee.
2022-07-02,GIRO PAYMENT 01/07/22 xx-1234 SP POWER,-85.0,Withdrawal,Bills,Monthly electricity bill payment via GIRO.
2022-07-15,DEBIT PURCHASE 14/07/22 xx-5678 NETFLIX,-13.99,Withdrawal,Bills,Monthly Netflix subscription fee.
2022-08-02,GIRO PAYMENT 01/08/22 xx-1234 SP POWER,-75.0,Withdrawal,Bills,Monthly electricity bill payment via GIRO.
2022-08-15,DEBIT PURCHASE 14/08/22 xx-5678 NETFLIX,-13.99,Withdrawal,Bills,Monthly Netflix subscription fee.
2022-09-02,GIRO PAYMENT 01/09/22 xx-1234 SP POWER,-80.0,Withdrawal,Bills,Monthly electricity bill payment via GIRO.
2022-09-15,DEBIT PURCHASE 14/09/22 xx-5678 NETFLIX,-13.99,Withdrawal,Bills,Monthly Netflix subscription fee.
2022-10-02,GIRO PAYMENT 01/10/22 xx-1234 SP POWER,-90.0,Withdrawal,Bills,Monthly electricity bill payment via GIRO.
2022-10-15,DEBIT PURCHASE 14/10/22 xx-5678 NETFLIX,-13.99,Withdrawal,Bills,Monthly Netflix subscription fee.
2022-11-02,GIRO PAYMENT 01/11/22 xx-1234 SP POWER,-85.0,Withdrawal,Bills,Monthly electricity bill payment via GIRO.
2022-11-15,DEBIT PURCHASE 14/11/22 xx-5678 NETFLIX,-13.99,Withdrawal,Bills,Monthly Netflix subscription fee.
2022-12-02,GIRO PAYMENT 01/12/22 xx-1234 SP POWER,-75.0,Withdrawal,Bills,Monthly electricity bill payment via GIRO.
2022-12-15,DEBIT PURCHASE 14/12/22 xx-5678 NETFLIX,-13.99,Withdrawal,Bills,Monthly Netflix subscription fee.
2022-09-01,DEBIT PURCHASE 31/08/22 xx-0422 CINEMA CITY,-15.0,Withdrawal,Entertainment,Payment for a movie ticket at Cinema City using a debit card.
2022-09-05,DEBIT PURCHASE 04/09/22 xx-0422 KARAOKE FUN,-25.0,Withdrawal,Entertainment,Payment for karaoke session using a debit card.
2022-09-10,DEBIT PURCHASE 09/09/22 xx-0422 STEAM GAMES,-50.0,Withdrawal,Entertainment,Purchased a video game from Steam using a debit card.
2022-09-15,DEBIT PURCHASE 14/09/22 xx-0422 JAZZ CONCERT,-60.0,Withdrawal,Entertainment,Payment for a jazz concert ticket using a debit card.
2022-09-20,DEBIT PURCHASE 19/09/22 xx-0422 CLUB NIGHT,-80.0,Withdrawal,Entertainment,Payment for club entry using a debit card.
2022-09-25,DEBIT PURCHASE 24/09/22 xx-0422 PLAYSTATION STORE,-70.0,Withdrawal,Entertainment,Purchased a video game from PlayStation Store using a debit card.
2022-09-30,DEBIT PURCHASE 29/09/22 xx-0422 THEATRE ROYAL,-90.0,Withdrawal,Entertainment,Payment for a theatre show ticket at Theatre Royal using a debit card.
2022-10-05,DEBIT PURCHASE 04/10/22 xx-0422 EPIC GAMES,-20.0,Withdrawal,Entertainment,Purchased a video game from Epic Games using a debit card.
2022-10-10,DEBIT PURCHASE 09/10/22 xx-0422 POOL PARADISE,-30.0,Withdrawal,Entertainment,Payment for a pool game at Pool Paradise using a debit card.
2022-10-15,DEBIT PURCHASE 14/10/22 xx-0422 NETFLIX,-15.0,Withdrawal,Entertainment,Monthly Netflix subscription payment using a debit card.
2022-10-20,DEBIT PURCHASE 19/10/22 xx-0422 ROCK CONCERT,-100.0,Withdrawal,Entertainment,Payment for a rock concert ticket using a debit card.
2022-10-25,DEBIT PURCHASE 24/10/22 xx-0422 BOWLING ALLEY,-35.0,Withdrawal,Entertainment,Payment for a bowling game at Bowling Alley using a debit card.
2022-11-01,DEBIT PURCHASE 31/10/22 xx-0422 CINEMA GALAXY,-12.0,Withdrawal,Entertainment,Payment for a movie ticket at Cinema Galaxy using a debit card.
2022-11-05,DEBIT PURCHASE 04/11/22 xx-0422 LASER TAG ARENA,-40.0,Withdrawal,Entertainment,Payment for a laser tag game at Laser Tag Arena using a debit card.
2022-11-10,DEBIT PURCHASE 09/11/22 xx-0422 XBOX STORE,-60.0,Withdrawal,Entertainment,Purchased a video game from Xbox Store using a debit card.
2022-11-15,DEBIT PURCHASE 14/11/22 xx-0422 SPOTIFY,-10.0,Withdrawal,Entertainment,Monthly Spotify subscription payment using a debit card.
2022-11-20,DEBIT PURCHASE 19/11/22 xx-0422 COMEDY CLUB,-25.0,Withdrawal,Entertainment,Payment for a comedy club ticket using a debit card.
2022-11-25,DEBIT PURCHASE 24/11/22 xx-0422 NINTENDO ESHOP,-45.0,Withdrawal,Entertainment,Purchased a video game from Nintendo eShop using a debit card.
2022-12-01,DEBIT PURCHASE 30/11/22 xx-0422 BROADWAY SHOW,-120.0,Withdrawal,Entertainment,Payment for a Broadway show ticket using a debit card.
2022-12-05,DEBIT PURCHASE 04/12/22 xx-0422 AMAZON PRIME,-13.0,Withdrawal,Entertainment,Monthly Amazon Prime subscription payment using a debit card.
2022-12-10,DEBIT PURCHASE 09/12/22 xx-0422 PIANO CONCERT,-50.0,Withdrawal,Entertainment,Payment for a piano concert ticket using a debit card.
2022-12-15,DEBIT PURCHASE 14/12/22 xx-0422 GOOGLE PLAY,-20.0,Withdrawal,Entertainment,Purchased an app from Google Play Store using a debit card.
2022-12-20,DEBIT PURCHASE 19/12/22 xx-0422 APPLE MUSIC,-10.0,Withdrawal,Entertainment,Monthly Apple Music subscription payment using a debit card.
2022-12-25,DEBIT PURCHASE 24/12/22 xx-0422 CHRISTMAS PARTY,-100.0,Withdrawal,Entertainment,Payment for a Christmas party ticket using a debit card.
2023-01-01,DEBIT PURCHASE 31/12/22 xx-0422 NEW YEAR PARTY,-150.0,Withdrawal,Entertainment,Payment for a New Year party ticket using a debit card.
2022-01-05,DEBIT PURCHASE 04/01/22 xx-1234 CINEMA 12,-13.5,Withdrawal,Entertainment,Payment for a movie ticket at Cinema 12 using a debit card.
2022-01-12,FAST PAYMENT 12/01/22 xx-1234 STEAM,-20.0,Withdrawal,Entertainment,Payment for a game on Steam using FAST payment.
2022-01-20,DEBIT PURCHASE 19/01/22 xx-1234 KARAOKE CLUB,-30.0,Withdrawal,Entertainment,Payment for karaoke session at Karaoke Club using a debit card.
2022-01-28,DEBIT PURCHASE 27/01/22 xx-1234 CONCERT TICKETS,-50.0,Withdrawal,Entertainment,Payment for concert tickets using a debit card.
2022-02-02,FAST PAYMENT 02/02/22 xx-1234 NETFLIX,-15.0,Withdrawal,Entertainment,Payment for Netflix subscription using FAST payment.
2022-02-09,DEBIT PURCHASE 08/02/22 xx-1234 CINEMA 12,-13.5,Withdrawal,Entertainment,Payment for a movie ticket at Cinema 12 using a debit card.
2022-02-16,DEBIT PURCHASE 15/02/22 xx-1234 BAR,-25.0,Withdrawal,Entertainment,Payment for drinks at a bar using a debit card.
2022-02-23,FAST PAYMENT 23/02/22 xx-1234 STEAM,-20.0,Withdrawal,Entertainment,Payment for a game on Steam using FAST payment.
2022-03-02,DEBIT PURCHASE 01/03/22 xx-1234 CONCERT TICKETS,-50.0,Withdrawal,Entertainment,Payment for concert tickets using a debit card.
2022-03-09,DEBIT PURCHASE 08/03/22 xx-1234 CINEMA 12,-13.5,Withdrawal,Entertainment,Payment for a movie ticket at Cinema 12 using a debit card.
2022-03-16,FAST PAYMENT 16/03/22 xx-1234 NETFLIX,-15.0,Withdrawal,Entertainment,Payment for Netflix subscription using FAST payment.
2022-03-23,DEBIT PURCHASE 22/03/22 xx-1234 KARAOKE CLUB,-30.0,Withdrawal,Entertainment,Payment for karaoke session at Karaoke Club using a debit card.
2022-03-30,FAST PAYMENT 30/03/22 xx-1234 STEAM,-20.0,Withdrawal,Entertainment,Payment for a game on Steam using FAST payment.
2022-04-06,DEBIT PURCHASE 05/04/22 xx-1234 BAR,-25.0,Withdrawal,Entertainment,Payment for drinks at a bar using a debit card.
2022-04-13,DEBIT PURCHASE 12/04/22 xx-1234 CINEMA 12,-13.5,Withdrawal,Entertainment,Payment for a movie ticket at Cinema 12 using a debit card.
2022-04-20,FAST PAYMENT 20/04/22 xx-1234 NETFLIX,-15.0,Withdrawal,Entertainment,Payment for Netflix subscription using FAST payment.
2022-04-27,DEBIT PURCHASE 26/04/22 xx-1234 CONCERT TICKETS,-50.0,Withdrawal,Entertainment,Payment for concert tickets using a debit card.
2022-05-04,FAST PAYMENT 04/05/22 xx-1234 STEAM,-20.0,Withdrawal,Entertainment,Payment for a game on Steam using FAST payment.
2022-05-11,DEBIT PURCHASE 10/05/22 xx-1234 CINEMA 12,-13.5,Withdrawal,Entertainment,Payment for a movie ticket at Cinema 12 using a debit card.
2022-05-18,DEBIT PURCHASE 17/05/22 xx-1234 KARAOKE CLUB,-30.0,Withdrawal,Entertainment,Payment for karaoke session at Karaoke Club using a debit card.
2022-05-25,FAST PAYMENT 25/05/22 xx-1234 NETFLIX,-15.0,Withdrawal,Entertainment,Payment for Netflix subscription using FAST payment.
2022-06-01,DEBIT PURCHASE 31/05/22 xx-1234 BAR,-25.0,Withdrawal,Entertainment,Payment for drinks at a bar using a debit card.
2022-06-08,FAST PAYMENT 08/06/22 xx-1234 STEAM,-20.0,Withdrawal,Entertainment,Payment for a game on Steam using FAST payment.
2022-06-15,DEBIT PURCHASE 14/06/22 xx-1234 CINEMA 12,-13.5,Withdrawal,Entertainment,Payment for a movie ticket at Cinema 12 using a debit card.
2022-06-22,DEBIT PURCHASE 21/06/22 xx-1234 CONCERT TICKETS,-50.0,Withdrawal,Entertainment,Payment for concert tickets using a debit card.
2022-06-29,FAST PAYMENT 29/06/22 xx-1234 NETFLIX,-15.0,Withdrawal,Entertainment,Payment for Netflix subscription using FAST payment.
2022-07-06,DEBIT PURCHASE 05/07/22 xx-1234 KARAOKE CLUB,-30.0,Withdrawal,Entertainment,Payment for karaoke session at Karaoke Club using a debit card.
2022-07-13,FAST PAYMENT 13/07/22 xx-1234 STEAM,-20.0,Withdrawal,Entertainment,Payment for a game on Steam using FAST payment.
2022-07-20,DEBIT PURCHASE 19/07/22 xx-1234 BAR,-25.0,Withdrawal,Entertainment,Payment for drinks at a bar using a debit card.
2022-07-27,DEBIT PURCHASE 26/07/22 xx-1234 CINEMA 12,-13.5,Withdrawal,Entertainment,Payment for a movie ticket at Cinema 12 using a debit card.
2022-08-03,FAST PAYMENT 03/08/22 xx-1234 NETFLIX,-15.0,Withdrawal,Entertainment,Payment for Netflix subscription using FAST payment.
2022-08-10,DEBIT PURCHASE 09/08/22 xx-1234 CONCERT TICKETS,-50.0,Withdrawal,Entertainment,Payment for concert tickets using a debit card.
2022-08-17,FAST PAYMENT 17/08/22 xx-1234 STEAM,-20.0,Withdrawal,Entertainment,Payment for a game on Steam using FAST payment.
2022-08-24,DEBIT PURCHASE 23/08/22 xx-1234 CINEMA 12,-13.5,Withdrawal,Entertainment,Payment for a movie ticket at Cinema 12 using a debit card.
2022-08-31,DEBIT PURCHASE 30/08/22 xx-1234 KARAOKE CLUB,-30.0,Withdrawal,Entertainment,Payment for karaoke session at Karaoke Club using a debit card.
2022-09-07,FAST PAYMENT 07/09/22 xx-1234 NETFLIX,-15.0,Withdrawal,Entertainment,Payment for Netflix subscription using FAST payment.
2022-09-14,DEBIT PURCHASE 13/09/22 xx-1234 BAR,-25.0,Withdrawal,Entertainment,Payment for drinks at a bar using a debit card.
2022-09-21,FAST PAYMENT 21/09/22 xx-1234 STEAM,-20.0,Withdrawal,Entertainment,Payment for a game on Steam using FAST payment.
2022-09-28,DEBIT PURCHASE 27/09/22 xx-1234 CINEMA 12,-13.5,Withdrawal,Entertainment,Payment for a movie ticket at Cinema 12 using a debit card.
2022-10-05,DEBIT PURCHASE 04/10/22 xx-1234 CONCERT TICKETS,-50.0,Withdrawal,Entertainment,Payment for concert tickets using a debit card.
2022-10-12,FAST PAYMENT 12/10/22 xx-1234 NETFLIX,-15.0,Withdrawal,Entertainment,Payment for Netflix subscription using FAST payment.
2022-10-19,DEBIT PURCHASE 18/10/22 xx-1234 KARAOKE CLUB,-30.0,Withdrawal,Entertainment,Payment for karaoke session at Karaoke Club using a debit card.
2022-10-26,FAST PAYMENT 26/10/22 xx-1234 STEAM,-20.0,Withdrawal,Entertainment,Payment for a game on Steam using FAST payment.
2022-11-02,DEBIT PURCHASE 01/11/22 xx-1234 BAR,-25.0,Withdrawal,Entertainment,Payment for drinks at a bar using a debit card.
2022-11-09,DEBIT PURCHASE 08/11/22 xx-1234 CINEMA 12,-13.5,Withdrawal,Entertainment,Payment for a movie ticket at Cinema 12 using a debit card.
2022-11-16,FAST PAYMENT 16/11/22 xx-1234 NETFLIX,-15.0,Withdrawal,Entertainment,Payment for Netflix subscription using FAST payment.
2022-11-23,DEBIT PURCHASE 22/11/22 xx-1234 CONCERT TICKETS,-50.0,Withdrawal,Entertainment,Payment for concert tickets using a debit card.
2022-11-30,FAST PAYMENT 30/11/22 xx-1234 STEAM,-20.0,Withdrawal,Entertainment,Payment for a game on Steam using FAST payment.
2022-12-07,DEBIT PURCHASE 06/12/22 xx-1234 KARAOKE CLUB,-30.0,Withdrawal,Entertainment,Payment for karaoke session at Karaoke Club using a debit card.
2022-12-14,DEBIT PURCHASE 13/12/22 xx-1234 BAR,-25.0,Withdrawal,Entertainment,Payment for drinks at a bar using a debit card.
2022-12-21,FAST PAYMENT 21/12/22 xx-1234 NETFLIX,-15.0,Withdrawal,Entertainment,Payment for Netflix subscription using FAST payment.
2022-12-28,DEBIT PURCHASE 27/12/22 xx-1234 CINEMA 12,-13.5,Withdrawal,Entertainment,Payment for a movie ticket at Cinema 12 using a debit card.
2023-01-05,DEBIT PURCHASE 04/01/23 xx-0123 CINEMA CITY,-12.5,Withdrawal,Entertainment,Payment for a movie ticket at Cinema City.
2023-01-12,DEBIT PURCHASE 11/01/23 xx-0123 STEAM GAMES,-20.0,Withdrawal,Entertainment,Payment for a game on the Steam platform.
2023-01-18,DEBIT PURCHASE 17/01/23 xx-0123 NETFLIX,-15.99,Withdrawal,Entertainment,Monthly subscription payment for Netflix.
2023-02-01,DEBIT PURCHASE 31/01/23 xx-0123 KARAOKE NIGHT,-35.0,Withdrawal,Entertainment,Payment for karaoke session.
2023-02-14,DEBIT PURCHASE 13/02/23 xx-0123 CONCERT TICKETS,-70.0,Withdrawal,Entertainment,Payment for concert tickets.
2023-02-20,DEBIT PURCHASE 19/02/23 xx-0123 TWITCH SUBSCRIPTION,-5.99,Withdrawal,Entertainment,Monthly subscription payment for a Twitch channel.
2023-03-03,DEBIT PURCHASE 02/03/23 xx-0123 PUB QUIZ,-10.0,Withdrawal,Entertainment,Payment for participation in a pub quiz.
2023-03-15,DEBIT PURCHASE 14/03/23 xx-0123 SPOTIFY PREMIUM,-9.99,Withdrawal,Entertainment,Monthly subscription payment for Spotify Premium.
2023-03-27,DEBIT PURCHASE 26/03/23 xx-0123 EPIC GAMES,-30.0,Withdrawal,Entertainment,Payment for a game on the Epic Games platform.
2023-04-05,DEBIT PURCHASE 04/04/23 xx-0123 CINEMA CITY,-12.5,Withdrawal,Entertainment,Payment for a movie ticket at Cinema City.
2023-04-13,DEBIT PURCHASE 12/04/23 xx-0123 AMAZON PRIME,-12.99,Withdrawal,Entertainment,Monthly subscription payment for Amazon Prime.
2023-04-20,DEBIT PURCHASE 19/04/23 xx-0123 BOWLING ALLEY,-15.0,Withdrawal,Entertainment,Payment for a game of bowling.
2023-05-01,DEBIT PURCHASE 30/04/23 xx-0123 COMEDY CLUB,-25.0,Withdrawal,Entertainment,Payment for a ticket to a comedy club.
2023-05-10,DEBIT PURCHASE 09/05/23 xx-0123 PLAYSTATION STORE,-60.0,Withdrawal,Entertainment,Payment for a game on the PlayStation Store.
2023-05-22,DEBIT PURCHASE 21/05/23 xx-0123 DISNEY+,-7.99,Withdrawal,Entertainment,Monthly subscription payment for Disney+.
2023-06-05,DEBIT PURCHASE 04/06/23 xx-0123 CINEMA CITY,-12.5,Withdrawal,Entertainment,Payment for a movie ticket at Cinema City.
2023-06-16,DEBIT PURCHASE 15/06/23 xx-0123 APPLE MUSIC,-9.99,Withdrawal,Entertainment,Monthly subscription payment for Apple Music.
2023-06-25,DEBIT PURCHASE 24/06/23 xx-0123 BOARD GAME CAFE,-20.0,Withdrawal,Entertainment,Payment for an evening at a board game cafe.
2023-07-01,DEBIT PURCHASE 30/06/23 xx-0123 THEME PARK,-50.0,Withdrawal,Entertainment,Payment for a ticket to a theme park.
2023-07-15,DEBIT PURCHASE 14/07/23 xx-0123 HBO MAX,-14.99,Withdrawal,Entertainment,Monthly subscription payment for HBO Max.
2023-07-22,DEBIT PURCHASE 21/07/23 xx-0123 NINTENDO ESHOP,-20.0,Withdrawal,Entertainment,Payment for a game on the Nintendo eShop.
2023-08-01,DEBIT PURCHASE 31/07/23 xx-0123 CINEMA CITY,-12.5,Withdrawal,Entertainment,Payment for a movie ticket at Cinema City.
2023-08-12,DEBIT PURCHASE 11/08/23 xx-0123 YOUTUBE PREMIUM,-11.99,Withdrawal,Entertainment,Monthly subscription payment for YouTube Premium.
2023-08-20,DEBIT PURCHASE 19/08/23 xx-0123 MINI GOLF,-15.0,Withdrawal,Entertainment,Payment for a game of mini golf.
2023-09-01,DEBIT PURCHASE 31/08/23 xx-0123 THEATRE SHOW,-45.0,Withdrawal,Entertainment,Payment for a ticket to a theatre show.
2023-09-15,DEBIT PURCHASE 14/09/23 xx-0123 XBOX LIVE,-9.99,Withdrawal,Entertainment,Monthly subscription payment for Xbox Live.
2023-09-23,DEBIT PURCHASE 22/09/23 xx-0123 VR ARCADE,-30.0,Withdrawal,Entertainment,Payment for a session at a VR arcade.
2023-10-05,DEBIT PURCHASE 04/10/23 xx-0123 CINEMA CITY,-12.5,Withdrawal,Entertainment,Payment for a movie ticket at Cinema City.
2023-10-16,DEBIT PURCHASE 15/10/23 xx-0123 AUDIBLE,-14.95,Withdrawal,Entertainment,Monthly subscription payment for Audible.
2023-10-25,DEBIT PURCHASE 24/10/23 xx-0123 ESCAPE ROOM,-25.0,Withdrawal,Entertainment,Payment for a session at an escape room.
2023-11-01,DEBIT PURCHASE 31/10/23 xx-0123 HALLOWEEN PARTY,-40.0,Withdrawal,Entertainment,Payment for a ticket to a Halloween party.
2023-11-15,DEBIT PURCHASE 14/11/23 xx-0123 SIRIUSXM,-8.99,Withdrawal,Entertainment,Monthly subscription payment for SiriusXM.
2023-11-21,DEBIT PURCHASE 20/11/23 xx-0123 ARCADE,-15.0,Withdrawal,Entertainment,Payment for a session at an arcade.
2023-12-01,DEBIT PURCHASE 30/11/23 xx-0123 CINEMA CITY,-12.5,Withdrawal,Entertainment,Payment for a movie ticket at Cinema City.
2023-12-12,DEBIT PURCHASE 11/12/23 xx-0123 TIDAL,-9.99,Withdrawal,Entertainment,Monthly subscription payment for Tidal.
2023-12-20,DEBIT PURCHASE 19/12/23 xx-0123 CHRISTMAS PARTY,-50.0,Withdrawal,Entertainment,Payment for a ticket to a Christmas party.
2023-12-01,DEBIT PURCHASE 30/11/23 xx-0411 CINEMAX,-15.0,Withdrawal,Entertainment,Purchased a movie ticket at Cinemax.
2023-12-02,FAST PAYMENT 01/12/23 xx-1234 KTV LOUNGE,-50.0,Withdrawal,Entertainment,Paid for a karaoke session at KTV Lounge.
2023-12-03,DEBIT PURCHASE 02/12/23 xx-0532 PLAYSTATION STORE,-60.0,Withdrawal,Entertainment,Purchased a new game on the PlayStation Store.
2023-12-04,FAST PAYMENT 03/12/23 xx-1256 CONCERT TICKETS,-120.0,Withdrawal,Entertainment,Bought concert tickets online.
2023-12-05,DEBIT PURCHASE 04/12/23 xx-0623 SPOTIFY PREMIUM,-9.99,Withdrawal,Entertainment,Monthly Spotify Premium subscription.
2023-12-06,DEBIT PURCHASE 05/12/23 xx-0704 NETFLIX,-12.98,Withdrawal,Entertainment,Monthly Netflix subscription.
2023-12-07,DEBIT PURCHASE 06/12/23 xx-0815 CINEPLEX,-20.0,Withdrawal,Entertainment,Purchased movie tickets at Cineplex.
2023-12-08,DEBIT PURCHASE 07/12/23 xx-0926 AMAZON PRIME,-12.99,Withdrawal,Entertainment,Monthly Amazon Prime subscription.
2023-12-09,FAST PAYMENT 08/12/23 xx-1357 BAR TAB,-80.0,Withdrawal,Entertainment,Paid for drinks at a bar.
2023-12-10,DEBIT PURCHASE 09/12/23 xx-1037 NINTENDO STORE,-50.0,Withdrawal,Entertainment,Purchased a game on the Nintendo Store.
2023-12-11,DEBIT PURCHASE 10/12/23 xx-1118 STUBHUB,-100.0,Withdrawal,Entertainment,Purchased event tickets on StubHub.
2023-12-12,FAST PAYMENT 11/12/23 xx-1458 KARAOKE NIGHT,-60.0,Withdrawal,Entertainment,Paid for karaoke night.
2023-12-13,DEBIT PURCHASE 12/12/23 xx-1219 AMAZON PRIME VIDEO,-5.99,Withdrawal,Entertainment,Monthly Amazon Prime Video subscription.
2023-12-14,DEBIT PURCHASE 13/12/23 xx-1300 STEAM STORE,-30.0,Withdrawal,Entertainment,Purchased a game on the Steam Store.
2023-12-15,FAST PAYMENT 14/12/23 xx-1559 CLUB ENTRY,-30.0,Withdrawal,Entertainment,Paid for club entry.
